"muscle","side","x_origin","y_origin","z_origin","x_insertion","y_insertion","z_insertion","force"
"mAMES","L","12.52079528","-0.123042777","-16.18436907","14.24643273","-5.872072392","-14.08698621","5.447028014"
"mAMES","R","-10.86935731","0.807955265","-15.20316091","-13.75156979","-5.676807654","-13.76792417","5.386883198"
"mAMEM","L","8.152535011","-0.759821535","-14.06807075","13.70311803","-6.840544636","-13.55561799","4.174793786"
"mAMEM","R","-7.359800506","-0.593128435","-13.86170931","-13.15069097","-6.419109082","-13.75514658","4.198671648"
"mAMEP","L","6.930981583","4.144346579","-11.85199857","12.59888197","-6.863489032","-8.64752383","2.300374324"
"mAMEP","R","-6.319137968","4.538874819","-12.0560774","-12.09373258","-6.496040559","-8.634784827","2.257053838"
"mAMP","L","10.17404192","-2.549242168","-18.09355045","13.4926734","-11.00389634","-16.62079575","31.59131062"
"mAMP","R","-8.871359227","-2.429930704","-17.49023362","-12.95071011","-10.91142988","-16.86539483","29.99153789"
"mPSTs","L","7.448840877","3.348131356","-9.598076686","11.66433854","-14.16074951","-1.34953466","11.66896605"
"mPSTs","R","-6.863264817","2.654321781","-10.01820065","-11.48237844","-13.94714328","-1.338766728","11.27605364"
"mPSTp","L","5.361991343","-0.847589001","-9.767545583","12.58937022","-11.63396082","-16.54145412","0.419549955"
"mPSTp","R","-5.373751008","-0.171476655","-10.40047435","-11.79946634","-11.63644502","-17.2224314","0.432283288"
"mPTd","L","7.308505399","-3.765019187","-4.804672155","11.46554677","-8.701765037","-22.58715854","42.4691149"
"mPTd","R","-6.131100973","-3.846133885","-5.515966873","-10.4148916","-8.366114636","-23.61798266","40.01577697"
"mPTv","L","5.82720176","-9.18966339","-12.86147202","12.87571637","-8.280737763","-25.64940794","6.708736055"
"mPTv","R","-5.802793017","-9.43781295","-13.33676237","-12.09668347","-8.745139273","-25.24522599","6.22897339"
"mDM","L","10.34965491","0.969285302","-22.52190212","11.28451573","-5.596777741","-26.40143497","7.761797453"
"mDM","R","-9.544103828","1.386199464","-22.55639682","-10.17689231","-5.449512512","-26.83550777","7.533896844"
